Church Name,Street Address,Street Address Line 2,City,County,Postal / EirCode,Website (if available),Denomination,Tradition,Latitude,Longitude,LEA
Newcastle West Bible Fellowship,North Quay,,Newcastle West,Limerick,,https://www.ncwbiblefellowship.com/,Brethren,Brethren/Gospel Hall,52.449692,-9.057948,NEWCASTLE WEST
Newtowncunningham Presbyterian Church,"Monad Road, Newtowncunningham",,Lifford,Donegal,,,PCI,Presbyterian/Reformed,54.99561,-7.52195,BUNCRANA
North City Baptist Church,Deaf Village Ireland,Ratoath Road,Cabra West,Dublin,D07 V4KP,www.northcitychurch.ie,ABCI,Baptist/Independent Evangelical,53.369048,-6.299793,CABRA-GLASNEVIN
North Clare Community Church,Ennistymon Community Centre,Parliament St,Ennistymon,Clare,V95 X8XC,https://www.northclarechurch.com,Calvary Chapel,Other Protestant/Evangelical,52.9405119,-9.291085,ENNISTIMON
Oasis Arena,"Unit 2A, Block 1, Lackenwood Business Park",,Waterford,Waterford,X91 E274,,RCCG,Pentecostal/Charismatic,52.2512,-7.1212,WATERFORD CITY SOUTH
Oasis Christian Fellowship,"Oasis Christian Centre, Gaol Road",,Roscrea,Tipperary,,,Elim Ministries Ireland,Pentecostal/Charismatic,52.9530000,-7.801,ROSCREA-TEMPLEMORE
Oasis of Grace Centre,Maynooth,,Maynooth,Kildare,W23 FP21,,RCCG,Pentecostal/Charismatic,53.3812,-6.5912,MAYNOOTH
Open Arms Church (Newbridge),"4 The Pier, Irish Row",,Newbridge,Kildare,W12 HT38,https://openarms.ie/,Christian Churches Ireland,Pentecostal/Charismatic,53.1723845,-6.7960429,NEWBRIDGE
Open Arms Church (Sandyford),"69c Heather Road, Sandyford Business Park",,Dublin,Dublin,D18 Y9F6,https://openarms.ie/,Christian Churches Ireland,Pentecostal/Charismatic,53.273702,-6.212426,GLENCULLEN-SANDYFORD
Open Door Christian Fellowship,"Northwest Business Park, Unit 5D Bymac Centre",,"Blanchardstown, Dublin 15",Dublin,,,Assemblies of God,Pentecostal/Charismatic,53.4112,-6.355819,BLANCHARDSTOWN-MULHUDDART
Open Heavens,"20 Lee Road, Dublin Industrial Estate, Glasnevin",,Dublin,Dublin,D11 A662,,RCCG,Pentecostal/Charismatic,53.3784,-6.2912,BALLYMUN-FINGLAS
Oranmore Community Church,Maldron Hotel Carrowmoneash,,Oranmore,Galway,H91 K7FA,,Various Baptist,Baptist/Independent Evangelical,53.2773623,-8.9283634,ATHENRY-ORANMORE
Our God Reigns,"The Community Centre, 32 Mourne Park",,Skerries,Dublin,K34 FP21,,RCCG,Pentecostal/Charismatic,53.5824,-6.1112,BALBRIGGAN
Overcomers Chapel,"The Scout Den, Balheary Road",,Swords,Dublin,K67 E6Y7,,RCCG,Pentecostal/Charismatic,53.4684,-6.2234,SWORDS
Passage Baptist Church,Fr Collins Centre,Cork Street,Passage West,Cork,T12 DT78,passagebaptistchurch.ie,ABCI,Baptist/Independent Evangelical,51.869751,-8.336546,CARRIGALINE
Peoples Church Cavan,18 River Street,Townparks,Cavan,Cavan,H12 RR28,https://www.instagram.com/bechurch.cavan/,Various Pentecostal,Pentecostal/Charismatic,53.988897,-7.361735,CAVAN-BELTURBET
Peoples Church Dublin City,67A Pearse Street,,Dublin 2,Dublin,,https://www.peopleschurchdublin.com/,Various Pentecostal,Pentecostal/Charismatic,53.343636,-6.245977,SOUTH EAST INNER CITY
Portlaoise Life Church,"Unit A11, National Enterprise Park",,Portlaoise,Laois,R32 HA21,portlaoise.lifechurch.ie,Various Pentecostal,Pentecostal/Charismatic,53.022837,-7.314726,PORTLAOISE
Portlaoise Methodist Church,Heatlow,,Portlaoise,Laois,R32 TP08,,Methodist,Methodist/Wesleyan,53.0331,-7.3002,PORTLAOISE
Potters House,"Unit 7B, Block 50, Rosemount Business Park",,Dublin,Dublin,D11 W902,,RCCG,Pentecostal/Charismatic,53.3984,-6.3512,BLANCHARDSTOWN-MULHUDDART
Power House,"Office 5, 12 Main Street Lower",,Lucan,Dublin,K78 N2V0,,RCCG,Pentecostal/Charismatic,53.3564,-6.4512,LUCAN
Radical Life Christian Church,"Unit 6, St Patrick's Woollen Mills",Douglas,Cork,Cork,T12 A361,https://radicallife.ie/,Various Pentecostal,Pentecostal/Charismatic,51.876138,-8.440656,CORK CITY SOUTH EAST
Ramelton Presbyterian Church,"Church Street, Ramelton",,Letterkenny,Donegal,,https://www.rameltonpresbyterianchurch.com,PCI,Presbyterian/Reformed,55.03634,-7.64522,MILFORD
Ranelagh Christian Church,47A Ranelagh Road,,Ranelagh,Dublin,D06 NX99,,Church of Christ,Other Protestant/Evangelical,53.326833,-6.256637,PEMBROKE
Raphoe & Ballindrait Presbyterian Church,"Meetinghouse Street, Raphoe",,Lifford,Donegal,,,PCI,Presbyterian/Reformed,54.87364,-7.59888,LIFFORD-STRANORLAR
Raphoe Congregational Church,Derry Road,Magheraboy,Raphoe,Donegal,,https://raphoechurch.com/,Congregational,Baptist/Independent Evangelical,54.875916,-7.588112,LIFFORD-STRANORLAR
Rathgar Methodist Church,6 Brighton Road,,Terenure,Dublin,D06 H797,,Methodist,Methodist/Wesleyan,53.3152,-6.2751,KIMMAGE-RATHMINES
Rathmullan Presbyterian Church,"Pier Road, Rathmullan",,Letterkenny,Donegal,,,PCI,Presbyterian/Reformed,55.0959,-7.53508,MILFORD
Ray Presbyterian Church,"Errity, Manorcunningham",,Letterkenny,Donegal,,,PCI,Presbyterian/Reformed,54.95407,-7.62065,LETTERKENNY
Redeemer Church,Rathfarnham Educate Together,Lereto Ave,Dublin,Dublin,D14 V5W4,https://www.redeemerdublin.ie/,Independent Evangelical,Baptist/Independent Evangelical,53.291757,-6.275089,DUNDRUM
Reformed Presbyterian Fellowship,"Ulster Room, Dublin Skylon Hotel, Upper Drumcondra Road",,Dublin 9,Dublin,D09 V1Y2,,Reformed Presbyterian Church of Ireland,Presbyterian/Reformed,53.372744,-6.253451,CABRA-GLASNEVIN
Rehoboth Christian Church,Pipe Band Hall,,Tralee,Kerry,V92 DR13,,Various Pentecostal,Pentecostal/Charismatic,52.2711120,-9.7101171,TRALEE
Resurrection Assembly,Carrick-On-Suir,,Carrick-On-Suir,Tipperary,E32 FP21,,RCCG,Pentecostal/Charismatic,52.3484,-7.4123,CARRICK-ON-SUIR
River Church Limerick,Leamy House Prior's-Land,,Limerick,Limerick,V94 CH9E,,Various Pentecostal,Pentecostal/Charismatic,52.6589221,-8.6306466,LIMERICK CITY WEST
River Of Life Athlone Le Ceile Christian Church,Grace Road,Le Chéile,Athlone,Westmeath,N37 H398,https://www.riveroflife.ie,Plumbline,Other Protestant/Evangelical,53.428572,-7.95038,ATHLONE
River Valley Baptist Church,Blacklion,Dublin / Leixlip Road,Maynooth,Kildare,,https://rivervalleybc.org/contact/,Various Baptist,Baptist/Independent Evangelical,53.381022,-6.577727,MAYNOOTH
Riverside Gospel Hall,2 Allen Square,,Bandon,Cork,P72 TE29,https://www.riversidegospelhall.com/,Brethren,Brethren/Gospel Hall,51.747039,-8.741141,BANDON-KINSALE
Rockcorry Presbyterian Church,Main Street,,Rockcorry,Monaghan,,,PCI,Presbyterian/Reformed,54.11686,-7.01519,BALLYBAY-CLONES
Roscrea Methodist Church,The Mall,,Roscrea,Tipperary,E53 H019,,Methodist,Methodist/Wesleyan,52.9551,-7.7972,ROSCREA-TEMPLEMORE
Royal Embassy Drogheda,Holy Family Community Centre Ballsgrove,,Drogheda,Louth,A92 A9PH,,RCCG,Pentecostal/Charismatic,53.7198,-6.3272,DROGHEDA URBAN
Sanctuary for all Nations,Drogheda,,Drogheda,Louth,A92 W902,,RCCG,Pentecostal/Charismatic,53.7123,-6.3512,DROGHEDA URBAN
Sanctuary of His Glory,Freedom Hall,,Mallow,Cork,P51 V262,,RCCG,Pentecostal/Charismatic,52.1384,-8.6412,MALLOW
Shalom Christian Fellowship,"Dawson Street / YWCA Hall, North Road",,Monaghan,Monaghan,H18 T228,https://www.facebook.com/ShalomChristianFellowshipMonaghan/,Independent Evangelical,Baptist/Independent Evangelical,54.247117,-6.970829,MONAGHAN
Shalom Prayer Fellowship,9 Well Road Kylekiproe,,Portlaoise,Laois,R32 CRC0,,Various Pentecostal,Pentecostal/Charismatic,53.0328324,-7.2944049,PORTLAOISE
Shankill Bible Church,Glen Maris House,Eaton Wood Grove,Shankill,Dublin,D18 WK27,https://www.shankillbiblechurch.org/,Brethren,Brethren/Gospel Hall,53.234116,-6.116952,KILLINEY-SHANKILL
Shannon Christian Church,"Unit 2, Smithstown",,Shannon,Clare,V14 KX52,https://shannonchristians.ie/,Independent Evangelical,Baptist/Independent Evangelical,52.716366,-8.870825,SHANNON
Shinrone Methodist Church,Main Street,,Shinrone,Offaly,R42 N932,,Methodist,Methodist/Wesleyan,52.9982,-7.8681,BIRR
Skerries Methodist Church,Mourne View,,Skerries,Dublin,K34 PP62,,Methodist,Methodist/Wesleyan,53.5821,-6.1112,BALBRIGGAN
Skibbereen Methodist Church,Mill Road,,Skibbereen,Cork,P81 V184,,Methodist,Methodist/Wesleyan,51.5512,-9.2661,SKIBBEREEN-WEST CORK
Sligo Baptist Church,Cartron Village,Rosses Point Road,Sligo,Sligo,F91X E42,facebook.com/pages/Sligo-Baptist-Church/273579899430747,ABCI,Baptist/Independent Evangelical,54.270601,-8.471644,SLIGO-STRANDHILL
Sligo City Church,"Mercy College, Chapel Hill, Abbeyquarter South",,Sligo,Sligo,F91 CF80,,Various Pentecostal,Pentecostal/Charismatic,54.2669594,-8.468642,SLIGO-STRANDHILL
Sligo Presbyterian Church,Church Street,,Sligo,Sligo,F91 A312,https://www.facebook.com/sligopresbyterianchurch/,PCI,Presbyterian/Reformed,54.26957,-8.475566,SLIGO-STRANDHILL
Smithborough Presbyterian Church,Mulladuff,,Smithborough,Monaghan,,,PCI,Presbyterian/Reformed,54.22223,-7.09804,BALLYBAY-CLONES
Solemn Assembly,Carrickmacross,,Carrickmacross,Monaghan,A81 E023,,RCCG,Pentecostal/Charismatic,53.9784,-6.7123,CARRICKMACROSS-CASTLEBLAYNEY
Solid Rock Centre Dublin,"6B Goldenbridge Industrial Estate, Tyrconnell Road, Inchicore",,Dublin 8,Dublin,D08 F880,https://solidrockdublin.org,Various Pentecostal,Pentecostal/Charismatic,53.335647,-6.323949,SOUTH WEST INNER CITY
Solid Rock Church of God - Drogheda,"Whitethorn House, Ballymakenny Road",,Drogheda,Louth,,,Various Pentecostal,Pentecostal/Charismatic,53.728832,-6.343639,DROGHEDA RURAL
Solid Rock Dublin,"6B Goldenbridge Industrial Estate, Inchicore",,Dublin 8,Dublin,D08 F880,,Various Pentecostal,Pentecostal/Charismatic,53.33609,-6.32385,SOUTH WEST INNER CITY
Solid Rock Parish,Ballinasloe,,Ballinasloe,Galway,H53 X084,,RCCG,Pentecostal/Charismatic,53.3294,-8.2234,BALLINASLOE
Solid Rock Portlaoise,Midlands Park Hotel Jessop Street Maryborough,,Portlaoise,Laois,R32 KV20,,Various Pentecostal,Pentecostal/Charismatic,53.0350261,-7.3024575,PORTLAOISE
South City Church,Glenalbyn Sports and Conference Centre,"Glenalbyn Road, Stillorgan",Dublin,Dublin,A94 WC62,https://www.southcitychurch.ie,Independent Evangelical,Baptist/Independent Evangelical,53.286534,-6.200003,STILLORGAN
South Hill Evangelical Church,South Hill Park,"Booterstown Avenue, Mount Merrion",Blackrock,Dublin,A94 R5W4,https://www.southhillchurchdublin.ie,Independent Evangelical,Baptist/Independent Evangelical,53.298803,-6.204168,BLACKROCK
St Catherine's Church of Ireland,Thomas Street,The Liberties,Dublin 8,Dublin,D08 DNA7,https://saintcatherines.ie,Church of Ireland,Other Protestant/Evangelical,53.342949,-6.281226,SOUTH WEST INNER CITY
St. Johnston Presbyterian Church,"Church Street, St. Johnston",,Lifford,Donegal,,,PCI,Presbyterian/Reformed,54.93397,-7.46074,LIFFORD-STRANORLAR
St. Mark's Church Dublin,42A Pearse Street,,Dublin 2,Dublin,D02 R123,https://www.stmarks.ie,Christian Churches Ireland,Pentecostal/Charismatic,53.344737,-6.251019,SOUTH EAST INNER CITY
St. Patrick's United Church,"Gateway Centre, Patrick Street",,Waterford,Waterford,X91 HY48,,Methodist,Methodist/Wesleyan,52.260326,-7.114122,TRAMORE-WATERFORD CITY WEST
Stonebridge Presbyterian Church,Gransha More,,Clones,Monaghan,,https://clonespchurchesgroup.wixsite.com/clonespchurchesgroup,PCI,Presbyterian/Reformed,54.20117,-7.16845,BALLYBAY-CLONES
Strand and Buncrana Presbyterian Church,Millbrae,,Buncrana,Donegal,,,PCI,Presbyterian/Reformed,55.131689,-7.4524,BUNCRANA
Stranorlar Presbyterian Church,"Meeting House Street, Stranorlar",,Ballybofey,Donegal,,,PCI,Presbyterian/Reformed,54.80686,-7.76896,LIFFORD-STRANORLAR
Stranorlar Reformed Presbyterian Church,Main Street,,Stranorlar,Donegal,F93 WTC9,https://www.rpc.org/stranorlar/,Reformed Presbyterian Church of Ireland,Presbyterian/Reformed,54.8067470,-7.7689654,LIFFORD-STRANORLAR
Sutton (Landmark) Methodist Church,Church Road,,Sutton,Dublin,D13 K092,,Methodist,Methodist/Wesleyan,53.3912,-6.1121,HOWTH-MALAHIDE
Swords Baptist Church,The Riasc Centre,Feltrim Road,Swords,Dublin,K67P X85,www.swordsbaptistchurch.com,ABCI,Baptist/Independent Evangelical,53.459720,-6.21806,SWORDS
Swords Elim Church,"St Colmcille's GFC, Glen Ellan Road",Holybanks,Swords,Dublin,K67 H996,https://swordselim.weebly.com/,Elim Ministries Ireland,Pentecostal/Charismatic,53.46795,-6.221682,SWORDS
Tallaght (An Solas) Methodist Church,Jobstown,,Tallaght,Dublin,D24 XW6P,,Methodist,Methodist/Wesleyan,53.2751,-6.3772,TALLAGHT SOUTH
Telugu Church - Christian Fellowship Ireland - Telugu & English,"Scoil Áine Naofa, Newcastle Rd, Esker Dr",,Lucan,Dublin,,https://cfidublin.wixsite.com/cfi-church,International Church,International Churches,53.390156,-6.435989,ONGAR
"The Bride, Christian Fellowship",The Bride Christian Fellowship,Bruckless,Donegal Town,Donegal,F94 K263,https://www.facebook.com/p/The-Bride-Christian-Fellowship-100089613445513/,Independent Evangelical,Baptist/Independent Evangelical,54.640049,-8.389689,DONEGAL
The Bridge Church,Unit 4 Celbridge Industrial Estate Shackleton Road,,Celbridge,Kildare,W23 R763,,Independent Evangelical,Baptist/Independent Evangelical,53.3416,-6.548,CELBRIDGE
The Bridge Church,"Unit 4, Celbridge Industrial Estate, Shackleton Road",,Celbridge,Kildare,W23 R763,thebridgechurch.ie,Independent Evangelical,Baptist/Independent Evangelical,53.343654,-6.545904,CELBRIDGE
"The Christian Community, Movement for Religious Renewal","The Christian Community House, Drewsborough",,Tuamgraney,Clare,V94 D5TK,https://www.thechristiancommunity.co.uk/topic/congregations/ireland/clare/,Various Pentecostal,Pentecostal/Charismatic,52.900501,-8.539924,KILLALOE
The Church of Christ,New Testament Church Jamestown,,Carrick-on-Shannon,Leitrim,,,Church of Christ,Other Protestant/Evangelical,53.9490,-8.09,CARRICK-ON-SHANNON
The Church of Pentecost Ireland,26-29 Summerplace Mountjoy Square,,Dublin 1,Dublin,D01 TR63,,Various Pentecostal,Pentecostal/Charismatic,53.359300,-6.2579,NORTH INNER CITY
The Church on Main Street,Dara Cinema,North Main Street,Naas,Kildare,,tcoms.ie,Independent Evangelical,Baptist/Independent Evangelical,53.218794,-6.662489,NAAS
The CornerChurch Tuam,Vicar Street,,Tuam,Galway,H54 W718,http://www.irishchristian.net/tuam,Independent Evangelical,Baptist/Independent Evangelical,53.514193,-8.852097,TUAM
The Evangelical Church of Reconciliation,Unit A12 Cookstown Industrial Estate,Tallaght,Dublin 24,Dublin,,,Various Pentecostal,Pentecostal/Charismatic,53.295174,-6.378029,TALLAGHT CENTRAL
The Father's House,St. John the Evangelist National School,,Adamstown,Dublin,K78 DP80,,RCCG,Pentecostal/Charismatic,53.3384,-6.4512,LUCAN
The Light House,Dean Street,,Kilkenny,Kilkenny,R95 P93V,,Independent Evangelical,Baptist/Independent Evangelical,52.6514,-7.2557,KILKENNY
The Light of God Tabernacle,Limerick,,Limerick,Limerick,V94 E023,,RCCG,Pentecostal/Charismatic,52.6684,-8.6312,LIMERICK CITY NORTH
The Lord of Hosts Fellowship Centre,Rochfortbridge,,Rochfortbridge,Westmeath,N91 A662,,RCCG,Pentecostal/Charismatic,53.4284,-7.2912,KINNEGAD
The Lord Reigns,39 Dublin Street,,Balbriggan,Dublin,K32 W720,,RCCG,Pentecostal/Charismatic,53.6124,-6.1824,BALBRIGGAN
The New Life Assembly,New Ross,,New Ross,Wexford,Y34 K074,,RCCG,Pentecostal/Charismatic,52.3952,-6.9412,NEW ROSS
The Potter’s House Church,14 Findlater Place (off O'Connell Street),,Dublin 1,Dublin,,https://pottershouse.ie,Various Pentecostal,Pentecostal/Charismatic,53.352406,-6.259536,NORTH INNER CITY
The Romanian Pentecostal Church Mount Zion,Growtown,,Dunshaughlin,Meath,A85 WY11,,International Church,Pentecostal/Charismatic,53.4767314,-6.5020499,RATOATH
The Seat of Mercy,Drogheda,,Drogheda,Louth,A92 N2V0,,RCCG,Pentecostal/Charismatic,53.7123,-6.3512,DROGHEDA URBAN
The Upper Room,5 Union Quay,,Cork,Cork,T12 CF21,https://upperroomcork.com/,Various Pentecostal,Pentecostal/Charismatic,51.896904,-8.466953,CORK CITY SOUTH CENTRAL
The Way of Christ Evangelical Ministry,"Unit 60, Briarhill Business Park",Off Airport Road,Galway,Galway,,https://thewayofchristworldevangelicalministries.com/,Various Pentecostal,Pentecostal/Charismatic,53.270743,-9.05677,GALWAY CITY CENTRAL
Thurles Baptist Church,Graigue,,Thurles,Tipperary,E41F C62,www.thurlesbaptistchurch.ie/Contact.html,ABCI,Baptist/Independent Evangelical,52.681940,-7.80222,THURLES
Tipperary Bible Church,"Arravale Rovers, Sean Treacy Park, Station Road",,Tipperary Town,Tipperary,E34 DK26,,Independent Evangelical,Baptist/Independent Evangelical,52.4698000,-8.1549,CASHEL-TIPPERARY
Tipperary Christian Fellowship,"St Michael's Street Community Centre, St Michael Street",,Tipperary Town,Tipperary,E34 K156,,Independent Evangelical,Baptist/Independent Evangelical,52.4751868,-8.1592594,CASHEL-TIPPERARY
Tralee Baptist Church,Collis Sandes House,Oakpark,Tralee,Kerry,V92P F5N,www.traleebaptistchurch.com/welcome,ABCI,Baptist/Independent Evangelical,52.270420,-9.70264,TRALEE
Tralee Bible Fellowship,1st Floor CWS Centre Upper Rock Street Gallowsfield,,Tralee,Kerry,V92 YH5V,,Independent Evangelical,Baptist/Independent Evangelical,52.273610,-9.705515,TRALEE
Tramore Bible Church,"Community Care Centre, Pond Road",,Tramore,Waterford,,,Independent Evangelical,Baptist/Independent Evangelical,52.1642007,-7.1500541,TRAMORE-WATERFORD CITY WEST
"Transfiguration Christian Center, Dublin",Herberton Centre,"Raleigh Square, Crumlin",Dublin 12,Dublin,,https://www.facebook.com/TransfigurationChristianCenter/,Various Pentecostal,Pentecostal/Charismatic,53.326156,-6.30754,KIMMAGE-RATHMINES
TREM House of Glory Sligo,"Unit 9, Cartron Village",,Sligo,Sligo,F91 TW64,,Various Pentecostal,Pentecostal/Charismatic,54,,SLIGO-STRANDHILL
TREM House of Mercy,Unit 45 Briarhill Business Park,,Briarhill,Galway,H91 C971,,Various Pentecostal,Pentecostal/Charismatic,53.2910,-8.989,GALWAY CITY EAST
Trenta Presbyterian Church,Carnatrentagh,,Letterkenny,Donegal,,https://www.trentaghpci.org,PCI,Presbyterian/Reformed,55.02054,-7.79125,MILFORD
Trinity Chapel,Gort,,Gort,Galway,H91 V2P0,,RCCG,Pentecostal/Charismatic,53.0654,-8.8124,GORT-KINVARA
Trinity Chapel,Kells,,Kells,Meath,A82 FP21,,RCCG,Pentecostal/Charismatic,53.7264,-6.8784,KELLS
Trinity Church Network,The Exchange,50 Gardiner Street Lower,Dublin 1,Dublin,D01 VC03,https://www.trinity.ie,Independent Evangelical,Baptist/Independent Evangelical,53.350019,-6.254138,NORTH INNER CITY
Trinity Presbyterian Church,Virginia Road,,Bailieborough,Cavan,,,PCI,Presbyterian/Reformed,53.913194,-6.971565,BAILIEBOROUGH-COOTEHILL
Trinity Presbyterian Church,Little William Street Summerhill North,,Cork,Cork,T23 XR63,,PCI,Presbyterian/Reformed,51.9017100,-8.465296,CORK CITY NORTH EAST
Triumph Church,The Westgrove Hotel Clane,,Clane,Kildare,W91 YWE0,,Various Pentecostal,Pentecostal/Charismatic,53.2897767,-6.6818225,CLANE
Triumphant House,"Skelly Oil, Killyfinla",,Ballyjamesduff,Cavan,A82 V2V0,,RCCG,Pentecostal/Charismatic,53.8654,-7.1352,BALLYJAMESDUFF
Tuam Evangelical Church,c/o Irish Wheelchair Association Dublin Road,,Tuam,Galway,H54 TR77,,Independent Evangelical,Baptist/Independent Evangelical,53.5217,-8.8475,TUAM
Tullamore Bible Church,21H Cluster 2,Axis Business Park,Tullamore,Offaly,R35 K762,www.tullamorebiblechurch.org,ABCI,Baptist/Independent Evangelical,53.275526,-7.493385,TULLAMORE
Tullamore Methodist Church,Store Street,,Tullamore,Offaly,R35 RR62,,Methodist,Methodist/Wesleyan,53.2731,-7.4952,TULLAMORE
Tullamore Presbyterian Church,45 High Street,,Tullamore,Offaly,,https://www.tullamorepresbyterian.org,PCI,Presbyterian/Reformed,53.27209,-7.49459,TULLAMORE
UCKG HelpCentre - Universal Church,157 Phibsborough Road,Phibsborough,Dublin 7,Dublin,D07 YN73,uckg.ie,Various Pentecostal,Pentecostal/Charismatic,53.361158,-6.272064,CABRA-GLASNEVIN
United Church Castlebar,"T.F. Royal Hotel & Theatre, Old Westport Road",,Castlebar,Mayo,,,Independent Evangelical,Baptist/Independent Evangelical,53.85328602,-9.30352091,CASTLEBAR
United Presbyterian Church,Queen Street,,Galway,Galway,,https://www.unitedchurchgalway.ie,PCI,Presbyterian/Reformed,53.27285,-9.04811,GALWAY CITY CENTRAL
Urban Junction,Blackrock,,Dublin,Dublin,A94 K6C3,,Methodist,Methodist/Wesleyan,53.3002,-6.1761,BLACKROCK
Victory House Athlone,"Unit 9 Centre Court, Blyry Business Park",,Athlone,Westmeath,N37 X9X6,,RCCG,Pentecostal/Charismatic,53.4313852,-7.8942976,ATHLONE
Victory of God Fellowship,Unit 14A Greenhills Industrial Village,,Drogheda,Louth,A92 Y798,,Various Pentecostal,Pentecostal/Charismatic,53.719007,-6.329618,DROGHEDA URBAN
Victory Outreach Dublin Church,"Unit 11 & 12, Westlink Industrial Estate, Ballyfermot",,Dublin 10,Dublin,,,Various Pentecostal,Pentecostal/Charismatic,53.3372397,-6.3433277,BALLYFERMOT-DRIMNAGH
Waterford Baptist Church,Catherine Street,,Waterford,Waterford,X91N N56,www.waterfordbaptist.ie,ABCI,Baptist/Independent Evangelical,52.258330,-7.11194,WATERFORD CITY SOUTH
Waterford Christian Assembly,Tycor Business Centre,Corner of Morrissons Avenue and Tycor Avenue,Waterford,Waterford,X91 V8PX,https://waterford-assembly.com,Independent Evangelical,Baptist/Independent Evangelical,52.256999,-7.129553,WATERFORD CITY SOUTH
Waterford Methodist Church,Greyfriars,,Waterford,Waterford,X91 K160,,Methodist,Methodist/Wesleyan,52.2611,-7.1082,TRAMORE-WATERFORD CITY WEST
West Cork Community Church,McSwiney Quay,,Bandon,Cork,,,Various Pentecostal,Pentecostal/Charismatic,51.7454725,-8.7379,BANDON-KINSALE
Westside Baptist Church,Old Chapel Village,,Bandon,Cork,P72 CK23,www.westsidebaptist.ie,ABCI,Baptist/Independent Evangelical,51.748975,-8.735469,BANDON-KINSALE
Wexford Bible Church,Gaelscoil Charman,Whiterock Hill,Wexford,Wexford,Y35 XW99,wexfordbiblechurch.ie,Independent Evangelical,Baptist/Independent Evangelical,52.327924,-6.473087,WEXFORD
Wexford Christian Community Church,"Unit 31, Westpoint Business Park, Clonard",,Wexford,Wexford,Y35 PR94,http://www.wxccc.org/,Christian Churches Ireland,Pentecostal/Charismatic,52.3843486,-6.4498605,WEXFORD
Wexford Church Development (PCI),Anne Street,,Wexford,Wexford,,,PCI,Presbyterian/Reformed,52.33845,-6.46092,WEXFORD
Wexford Methodist Church,Ardcavan Lane,,Wexford,Wexford,Y35 CY82,,Methodist,Methodist/Wesleyan,52.3481,-6.4672,WEXFORD
Wicklow Christian Assembly,6 Wentworth Place,,Wicklow Town,Wicklow,,,Brethren,Brethren/Gospel Hall,52.9818550,-6.0466405,WICKLOW
Wicklow Methodist Church,Convent Road,,Wicklow,Wicklow,A67 WK11,,Methodist,Methodist/Wesleyan,52.9781,-6.0442,WICKLOW
Winner's House Christian Centre,Unit 4C Naas Road Industrial Park,Old Naas Road,Dublin 12,Dublin,D12 DE74,winnerschapelireland.org,Various Pentecostal,Pentecostal/Charismatic,53.464454,-6.217983,SWORDS
Word International Ministries Ireland,Unit G-5 Chapelizod Industrial Park,,Dublin,Dublin,,,Various Pentecostal,Pentecostal/Charismatic,53.34719,-6.34275,BALLYFERMOT-DRIMNAGH
Word of Life Church,"Unit 2, Unit 6I Gurtnafleur Business Park",,Clonmel,Tipperary,,wordoflifechurchclonmel.com,Various Pentecostal,Pentecostal/Charismatic,52.362019,-7.672344,CLONMEL
Word of Life Parish,Ballyhaunis,,Ballyhaunis,Mayo,F35 K074,,RCCG,Pentecostal/Charismatic,53.7624,-8.7612,CLAREMORRIS
Word Of Victory Christian Fellowship & Bible School,,,,,,,Various Pentecostal,Pentecostal/Charismatic,52.07211,-9.451591,KILLARNEY
World Outreach Christian Centre,A3 Corcanree Business Park,Dock Road,Limerick,Limerick,V94 EDK0,https://www.wocc.ie/,Various Pentecostal,Pentecostal/Charismatic,52.653242,-8.657049,LIMERICK CITY WEST
Worship and Word Gospel Centre,Studio Wolfe C5 Donnybrook Commercial Centre Douglas,,Cork,Cork,T12 R25F,,Various Pentecostal,Pentecostal/Charismatic,51.8688471,-8.4406887,CORK CITY SOUTH EAST
Youghal Baptist Church,Brú Na Sí,Blackwater Heights,Youghal,Cork,P36H 265,youghalbaptist.ie/contact/,ABCI,Baptist/Independent Evangelical,51.954270,-7.847171,MIDLETON
Youghal Methodist,Friar Street,,Youghal,Cork,P36 W271,,Methodist,Methodist/Wesleyan,51.9442,-7.8481,MIDLETON
Zion Family Christian Church,The Core,Church Street,Roscommon,Roscommon,F42 DK19,https://zfcc.org/,Various Pentecostal,Pentecostal/Charismatic,53.63064,-8.189793,ROSCOMMON
